"id","strongs_number","d_strong","original_word","english_translation","long_text","short_text","transliteration","step_united_reason","step_type"
"296","G0296"," ","αμφοδον","street","pr. a road leading round a town or village; the street of a village, Mk. 11:4*  (Mo)","street",NULL,"in Greek","king"
"301","G0301"," ","αμως","Amos","Amos, (Proper name), indecl, Mt. 1:10; Lk. 3:25*  (Mo)","Amos: (1) father of Mattathias (LUK.3:25); (2) father of Josiah (MAT.1:10)",NULL,"in Greek","king"
"758","G0758"," ","αρχων","ruler","one invested with power and dignity, chief, ruler, prince, magistrate, leader, official Mt. 9:23; 20:25  (Mo)","ruler; official, authority; judge (LUK.12:58) ; member of the Sanhedrin (JHN.3:1)",NULL,"in Greek","king"
"864","G0864"," ","αφικνεομαι","to reach","to come, arrive at; to reach, as a report, Rom.16.19*  (Mo)","reach, be known to",NULL,"in Greek","king"
"1137","G1137"," ","γωνια","corner","an, exterior angle, projecting corner, Mt. 6:5; 21:42; an interior angle; by impl. a dark corner, obscure place, Act.26.26; corner, extremity, or quarter of the earth, Rev.7.1; 20:8  (Mo)","corner ; main corner-stone, keystone",NULL,"in Greek","king"
"1474","G1474"," ","εδαφιζω","to raze","pr. to form a level and firm surface; to level with the ground, dash to the ground, overthrow, raze, destroy, Lk. 19:44*  (Mo)","raze to the ground, completely destroy",NULL,"in Greek","king"
"2423","G2423"," ","ιεχονιας","Jeconiah","Jechoniah, (Proper name), Mt. 1:11, 12; Lk. 3:23ff.*  (Mo)","Jechoniuh (MAT.1:11f)",NULL,"in Greek","king"
"2485","G2485"," ","ιχθυδιον","little fish","a small fish, Mt. 15:34; Mk. 8:7*  (Mo)","small fish, fish",NULL,"in Greek","king"
"2496","G2496"," ","ιωραμ","Jehoram","Joram, king of Judah (2Ki.8.16ff.), (Proper name), indecl., Mt. 1:8*  (Mo)","Joram (MAT.1:8)",NULL,"in Greek","king"
"2498","G2498"," ","ιωσαφατ","Jehoshaphat","Josaphat, king of Judah (1Ki.22.41), (Proper name), indecl., Mt. 1:8*  (Mo)","Jehoshaphat (MAT.1:8)",NULL,"in Greek","king"
"2502","G2502"," ","ιωσιας","Josiah","Josiah, king of Judah (2Ki. 22), Mt. 1:10, 11*  (Mo)","Josiah (MAT.1:10f)",NULL,"in Greek","king"
"3127","G3128"," ","μανασσης","Manasseh","Manasses, (Proper name) (1) the tribe of Manasseh, Rev.7.6 (2) Manasseh, king of Judah, Mt. 1:10*  (Mo)","Manasseh: (1) son of Joseph, founder of an Israelite tribe (REV.7:6); (2) in the genealogy of Jesus (MAT.1:10)",NULL,"in Greek","king"
"3503","G3604"," ","οζιας","Uzziah","Uzziah, (Proper name), indeclinable, Lk. 3:23ff.*  (Mo)","Uzziah",NULL,"in Greek","king"
"4396","G4497"," ","ροβοαμ","Rehoboam","Roboam, (Proper name), indecl., Mt. 1:7*  (Mo)","Rehoboam",NULL,"in Greek","king"
