Strong's #	,Grk/Heb	English	SVD	Text
G0002 	Ἀαρών	Aaron	هارُون	" ἀαρών (بالعبرية: аэладан)، indecl. (في فلوريدا، -ῶνος)، هارون (المرجع: خروج ٤:​ ١٤، آل.): المرجع: لوقا ١:​ ٥، المرجع: أعمال ٧:​ ٤٠، المرجع: عب ٥:​ ٤، 7: 11، 9:4 .† (ع)"
G0003 	Ἀβαδδών	Abaddon	أَبَدُّون	" ἀβαδδών (عبرانيين: دمار؛ lxx، ἀπώлεια، فقط في رسالة الحكمة، مكان الموتى الهالكين: المرجع: أيوب ٢٦:​ ٦، 28: 22، 31: 12، مرجع: مزمور ٨٨:​ ١٢، المرجع: pro.15:11 *)، indecl.; في العهد الجديد، أبادون، ملاك الهاوية: المرجع: رؤ9: 11. † (مثل)"
G0005 	ἀββά	Abba	 أَبَا	" ἀββά (t، -ᾶ)، indecl. (آرام، а– а– а، а–б = عب. а–b، الأب)، المستخدمة في عبارة ἀ. ὁ παήρ، أبا، الآب (انظر سويتي على مرقس، i.with): المرجع: مرقس ١٤:​٣٦، المرجع: رو ٨:​١٥، المرجع: غل ٤:​ ٦ .† (ع)"
G0006 	Ἄβελ	Abel	هَابِيل	"ἄβεл , (wh, ἅ-), ὁ, indecl. (هَهَبِعَل)، هابيل (المرجع: تك ٤:​ ٢-10): المرجع: عب ١١:​ ٤، 12: 24؛ αἵμα ἄ.، المرجع: مت23:35، المرجع: لوقا11:51 .† (ع)"
G0007G	Ἀβιά	Abijah	أَبِيَّا	" ἀβιά (بالعبرية: а–бавида، а–банда)، ὁ، indecl. (في flj، ἀβίας، -α)، أبيا، أبيا . __1. ابن رحبعام ( رؤ 3 مل 14 : 1 ) . مرجع : متى 1 : 7 . __2. كاهن من نسل ألعازار ( 1 أخبار ٢٤:​ ٣، 10 ): راجع: لو ١:​ ٥ . † (مثل)"
G0007H	Ἀβιά	Abijah	أَبِيَّا	" ἀβιά (بالعبرية: а–бавида، а–банда)، ὁ، indecl. (في flj، ἀβίας، -α)، أبيا، أبيا . __1. ابن رحبعام ( رؤ 3 مل 14 : 1 ) . مرجع : متى 1 : 7 . __2. كاهن من نسل ألعازار ( 1 أخبار ٢٤:​ ٣، 10 ): راجع: لو ١:​ ٥ . † (مثل)"
G0008 	Ἀβιαθάρ	Abiathar	أَبِيَأَثَار	" ἀβιάθαρ , ὁ, indecl. (عبرانيين: ᴴᴰᴺ)، أبيثار (المرجع: 1 مل ٢١:​ ١): المرجع: مرقس ٢:​ ٢٦ .† (ع)"
G0009 	Ἀβιληνή	Abilene	 الأَبِلِيَّة	" ἀβεινηνή (t, rec. ἀβι-), -ῆς, ἡ, (sc. χώρα)، أبيلين، منطقة في لبنان الشرقي: المرجع: luk.3:1. † (مثل)"
G0010 	Ἀβιούδ	Abiud	أَبِيهُود	"ἀβιούδ، ὁ، indecl. (عبرانيين: ᴀᴇᴇᴼ)، أبيهود، أبيهود: المرجع: مت ١:​ ١٣. † (مثل)"
G0011 	Ἀβραάμ	Abraham	إِبْراهِيم	" ἀβραάμ (بالعبرية: ἀβραάμ)، ὁ، indecl. (في flj، ἄβραμος، -ου؛ mm، vgt، انظر الكلمة)، إبراهيم (المرجع: تك ١٧:​ ٥ آل.): المرجع: mat.1: 1، 2 آل. (مثل)"
G0013 	Ἄγαβος	Agabus	أَغَابُوس	" ἄγαβος , -ου, ὁ أغابوس : المرجع: أع.11:28, 21:10 .† (ع)"
G0028 	Ἄγαρ	Hagar	هَاجَر	" ἅγαρ (rec. ἄ-)، ἡ، indecl. (في flj، ἀγάρα، -ης، عب. ἀγάρ)، هاجر (تك 16): المرجع: غلاطية ٤:​٢٤،25 .† (ع)"
G0067 	Ἀγρίππας	Agrippa	أَغْرِيبَاس	" ἀγρίππας , -α (bl., §7, 2), ὁ agrippa (ii): المرجع: أع.25:13, 22, 23, 24, ٢٦ ٢٦:​١, 2, 19, 27, 28, 32 . (بالنسبة لأغريبا الأول، انظر: ἡρῴδης، 3.) † (ع)"
G0068 	ἀγρός	Field of	حَقْل	" ἀγρός , -οῦ, ὁ, [في lxx بشكل رئيسي لـ ч ]; __1. الحقل : المرجع : مت 6 : 28 ، آل . __2. الدولة : المرجع: mrk.15:21, al.; pl., الأماكن الريفية, المزارع : المرجع: mrk.5:١٤ ٦:​٣٦ 56 , المرجع: luk.8:٣٤ ٩:​١٢ . __3. = χωρίον قطعة أرض : المرجع: mrk.10:29 , المرجع: أع.4:27 , al. (عند حدوث هذه الكلمة بالمقارنة مع χώρα، χωρίον، انظر mm، vgt، انظر الكلمة) (as)"
G0068G	ἀγρός	field	حَقْل	" ἀγρός , -οῦ, ὁ, [في lxx بشكل رئيسي لـ ч ]; __1. الحقل : المرجع : مت 6 : 28 ، آل . __2. الدولة : المرجع: mrk.15:21, al.; pl., الأماكن الريفية, المزارع : المرجع: mrk.5:١٤ ٦:​٣٦ 56 , المرجع: luk.8:٣٤ ٩:​١٢ . __3. = χωρίον قطعة أرض : المرجع: mrk.10:29 , المرجع: أع.4:27 , al. (عند حدوث هذه الكلمة بالمقارنة مع χώρα، χωρίον، انظر mm، vgt، انظر الكلمة) (as)"
G0068H	ἀγρός	Field (of blood)	حَقْل	" ἀγρός , -οῦ, ὁ, [في lxx بشكل رئيسي لـ ч ]; __1. الحقل : المرجع : مت 6 : 28 ، آل . __2. الدولة : المرجع: mrk.15:21, al.; pl., الأماكن الريفية, المزارع : المرجع: mrk.5:١٤ ٦:​٣٦ 56 , المرجع: luk.8:٣٤ ٩:​١٢ . __3. = χωρίον قطعة أرض : المرجع: mrk.10:29 , المرجع: أع.4:27 , al. (عند حدوث هذه الكلمة بالمقارنة مع χώρα، χωρίον، انظر mm، vgt، انظر الكلمة) (as)"
G0076 	Ἀδάμ	Adam	آدَم	" ἀδάμ، ὁ indecl. (عبرانيين ảẫ ẫ)، آدم: رؤ: لوقا ٣:​ ٣٨، رؤ: رومية ٥:​ ١٤، رؤ: ١كو ١٥:​ ٢٢، 45، رؤ: ١تي ٢:​ ١٣، 14 رؤ: يو 14. المسيح ἔσχατος ἀ.، المرجع: ١كو ١٥:​ ٤٥. † (مثل)"
G0078 	Ἀδδί	Addi	نِ أَدِّي	" ἀδδεί (rec. ἀδδί)، ὁ، addei : المرجع: luk.3:28. † (مثل)"
G0086 	ᾍδης	hell: Hades	الْهَاوِيَة	" ᾅδης , -ου, ὁ [في lxx ehiefly لـ разан, أيضًا لـ тада, повет, الخ. ;] __1. في هوم، هاديس (بلوتو)، إله العالم السفلي. __2. مسكن الجحيم، العالم السفلي؛ في العهد الجديد، مسكن الأرواح الراحلة، الهاوية: ἐν τ. هـ، المرجع: لوقا ١٦:​ ٢٣؛ εἰς ᾅ., المرجع: أع.2:27,31 ; πύлαι ᾅδου, المرجع: mat.16:18; κлεῖς τοῦ ᾅ.، المرجع: rev.1:18؛ مجازيًا، ἕως ᾅ.، المرجع: متى ١١:​٢٣، المرجع: لوقا ١٠:​١٥؛ مُجسَّد، المرجع: رؤيا ٦: ٨ ٢٠: ١٣، ١٤ (كريمر، ٦٧، ٦١٠؛ مم، vgt، انظر الكلمة). † (مثل)"
G0098 	Ἀδραμυττηνός	Adramyttium	أَدْرَامِيتِينِيَّة	" ἁδραμυντηνός (t، rec. ἀδραμυττηνός)، -ή،-όν، من adramytتيum، ميناء ميسيا البحري: المرجع: أع.27:2. † (مثل)"
G0099 	Ἀδρίας	Adriatic Sea	حْرِ أَدْرِيَا	" ἁδρίας (t، rec. ἀδρίας)، -ου، ὁ، البحر الأدرياتيكي، في الاستخدام اليوناني اللاحق امتد ليشمل جميع المياه بين اليونان وإيطاليا: المرجع: أع.27:27. † (مثل)"
G0107 	Ἀζώρ	Azor	عَازُور	"ἀζώρ , ὁ, indecl., azor : المرجع: mat.1:13,14 .† (as)"
G0108 	Ἄζωτος	Azotus	أَشْدُود	" ἄζωτος , -ου, ἡ (عبرانيين, ἡ, ἡ, ἄẫ ἡẫ ἡ)، آزوتوس، مدينة فلسطينية: المرجع: أع.8:40. † (مثل)"
G0116 	Ἀθῆναι	Athens	أَثِينَا	" ἀθῆναι , -ῶν, αἱ (الجمع لأنه يتكون من عدة أجزاء)، أثينا: المرجع: أع.17:15,١٦ ١٨:​١ , المرجع: ١تس.3:1 .† (ع)"
G0117 	Ἀθηναῖος	Athenian	الأَثِينِوِيُّون	" الأثينية، من أو من أثينا، (الإلياذة من هوميروس)، الخ (ml)"
G0125 	Αἴγυπτος	Egypt	مِصْر	" αἴγυπτος , ου, ἡ, مصر : المرجع: متى ٢:​ ١٣-15,19 , المرجع: أعمال ٢:​١٠ 7: 9-39, المرجع: عب ٣:​ ١٦ 11: 26,27 ; γῆ αἴ.، المرجع: أعمال ٧: ٤٠ ١٣: ١٧، المرجع: عب ٨: ٩، المرجع: يو ٥ (راجع المرجع: خروج ٥: ١٢، آل)؛ ἡ αἴ.، المرجع: أع.7:11؛ مجازيًا، أن أورشليم معادية لله، المرجع: رؤيا ١١: ٨. † (مثل)"
