G0010,αβιουδ,ابيود
G0068,αγρος,مجال
G0076,αδαμ,آدم
G0086,αδης,حادس
G0107,αζωρ,أزور
G0124,αιγυπτιος,مصري
G0128,αιθιοψ,إثيوبي
G0132,αινεας,اينيس
G0207,ακυλας,أكويلا
G0221,αλεξανδρευς,اسكندراني
G0222,αλεξανδρινος,اسكندراني
G0223,αλεξανδρος,الكسندر
G0256,αλφαιος,حلفا
G0300,αμων,آمون
G0406,ανδρεας,أندرو
G0490,αντιοχεια,أنطاكية
G0625,απολλως,أبولوس
G0697,αρειος παγος,تل المريخ
G0708,αρισταρχος,ارسترخوس
G0735,αρτεμις,أرتميس
G0751,αρχιππος,أرخبوس
G0760,ασα,ك
G0773,ασια,آسيا
G0881,αχαζ,آحاز
G0882,αχαια,أخائية
G0885,αχειμ,أكيم
G0918,βαρθολομαιος,بارثولوميو
G0923,βαρσαβας,بارساباس
G0963,βηθανια,بيثاني
G0978,βιθυνια,بيثينية
G1050,γαιος,جايوس
G1057,γαλιλαιος,الجليل
G1058,γαλλιων,جاليو
G1059,γαμαλιηλ,غماليل
G1115,γολγοθα,الجلجثة
G1148,δαλμανουθα,دالمانوتا
G1179,δεκαπολις,ديكابوليس
G1191,δερβη,ديربي
G1445,εβραιος,عبري
G1446,εβραις,الآرامية
G1638,ελαιων,زيتون
G1648,ελεαζαρ,العازار
G1662,ελιακειμ,الياكيم
G1664,ελιουδ,إليود
G1665,ελισαβετ,إليزابيث
G1673,ελληνικος,اليونانية
G1674,ελληνις,امرأة يونانية
G1676,ελληνιστι,باليوناني
G1802,ενωχ,اينوك
G1889,επαφρας,ابافراس
G2037,εραστος,ايراستوس
G2060,ερμης,هيرميس
G2117,ευθυς,مستقيم
G2180,εφεσιος,افسس
G2243,ηλιας,إيليا
G2265,ηρωδιανοι,الهيروديون
G2321,θεοφιλος,ثيوفيلوس
G2331,θεσσαλονικευς,ثيسالونيكي
G2381,θωμας,توماس
G2385,ιακωβος,جوامع
G2394,ιασων,جايسون
G2410,ιεριχω,أريحا
G2414,ιεροσολυμα,بيت المقدس
G2415,ιεροσολυμιτης,القدس
G2419,ιερουσαλημ,بيت المقدس
G2421,ιεσσαι,جيسي
G2424,ιησους,يسوع / يشوع
G2430,ικονιον,الايقونية
G2446,ιορδανης,الأردن
G2449,ιουδαια,يهودا
G2455,ιουδας,يهوذا / يهوذا / يهوذا
G2459,ιουστος,نحن فقط
G2464,ισαακ,إسحاق
G2474,ισραηλ,إسرائيل
G2475,ισραηλιτης,إسرائيلي
G2482,ιταλια,إيطاليا
G2488,ιωαθαμ,جوثام
G2491,ιωαννης,جون
G2495,ιωνας,يونس
G2496,ιωραμ,يهورام
G2500,ιωσης,خوسيه
G2501,ιωσηφ,جوزيف
G2535,καιν,قابيل
G2581,κανανιτης,متعصب
G2763,κεραμευς,الخزاف
G2786,κηφας,سيفاس
G2791,κιλικια,قيليقية
G2878,κορβαν,كوربان
G2881,κορινθιος,كورنثيان
G2883,κορνηλιος,كورنيليوس
G2912,κρης,كريتي
G2953,κυπριος,سيبريان
G2954,κυπρος,قبرص
G2956,κυρηναιος,من قورينا
G3003,λεγεων,فيلق
G3017,λευι,ليفي
G3019,λευιτης,اللاوي
G3020,λευιτικος,اللاويين
G3038,λιθοστρωτος,الرصيف
G3040,λιμην,مرفأ
G3065,λουκας,لوك
G3069,λυδδα,اللد
