G0001	α αλφα	alpha	alpha (first letter of the Greek alphabet); first (in titles of NT writings); alpha; beginning, first	Α, α, ἄλφα (which see), τό,   alpha, the first letter of the Greek alphabet.
G0002	ααρων	Aaron	Aaron	Aaron, (Proper name),  the brother of Moses (Exo 4:14), Lk 1:15; Act 7:40; Heb 5:4; 7:11; 9:4*
G0003	αβαδδων	Abaddon	Abaddon  Destroyer (Hebrew name of a demon transliterated into Greek)	Abaddon, (Proper name),  alternate spelling: Ἀββαδών, the angel who rules in hell, Rev 9:11*
G0004	αβαρης	not burdensome	no (financial) burden	literally: weightless; figurately: not burdensome, 2Co 11:9*
G0005	αββα	Father	Father (referring to God) (Aramaic word)	father, Mk 14:36; Rom 8:15; Gal 4:6*
G0006	αβελ	Abel	Abel	Abel, (Proper name),  Mt 23:35; Lk 11:51; Heb 11:4; 12:24
G0007	αβια	Abijah	Abijah (1) person in the genealogy of Jesus (MAT.1:7); (2) founder of a tribe of priests (LUK.1:5)	Abiajah, (Proper name),  Hebrew is Abijah. (1) the son of Rehoboam (1Ch 3:10) Mt 1:7; (2) the division of priests to which Zechariah belonged (1Ch 24:10) Lk 1:5*
G0008	αβιαθαρ	Abiathar	Abiathar (MRK.2:26)	Abiathar, (Proper name),  Mk 2:26*
G0009	αβιληνη	Abilene	(LUK 3:1)	Abilene, a district of the Syrian Decapolis; from Abila, the chief town, Lk 3:1*
G0010	αβιουδ	Abiud	Abiud (MAT.1:13)	Abihud, (Proper name)
G0011	αβρααμ	Abraham	Abraham	Abraham, (Proper name)
G0012	αβυσσος	abyss	abyss the home of demons and evil spirits; the world of the dead (ROM.10:7)	bottomless; place of the dead, Lk 8:31; Rom 10:7
G0013	αγαβος	Agabus	Agabus	Agabus, (Proper name), Act 11:28; 21:10*
G0014	αγαθοεργεω	to do good	do good  be generous with one's possessions	to do good, confer benefits, Act 14:17; 1Ti 6:18*
G0015	αγαθοποιεω	to do good	do good  help; live uprightly, do what is right or good	to do good, do well, do right; to do what is morally correct, (1Pe 2:15, 20)
G0016	αγαθοποιια	doing good	doing good or right	well-doing,, 1Pe 4:19*
G0017	αγαθοποιος	doing good	one who does what is good or right	doing good, or right; subst., a well-doer, 1Pe 2:14*
G0018	αγαθος	good	good, useful	ἀγαθός, -ή, -όν,  [in LXX chiefly for טוֹב ;] in general, good, in physical and in moral sense, used of persons, things, acts, conditions, etc., applied to that which is regarded as "perfect in its kind, so as to produce pleasure and satisfaction, . . . that which, in itself good, is also at once for the good and the advantage of him who comes in contact with it" (Cremer, 3): γῆ, Luk 8:8; δένδρον, Mat 7:18; καρδία, Luk 8:15; δόσις, Jas 1:17; μέρις, Luk 10:42; ἔργον (freq. in Pl.), Php 1:6; ἐλπίς, 2Th 2:16; θησαυρός, Mat 12:35; μνεία, 1Th 3:6 (cf. 2Ma 7:20); as subst., τὸ ἀ, that which is morally good, beneficial, acceptable to God, Rom 12:2; ἐργάζεσθαι τὸ ἀ, Rom 2:10, Eph 4:28; πράσσειν, Rom 9:11, 2Co 5:10; διώκειν, 1Th 5:15; μιμεῖσθαι, 3Jn.11; κολλᾶσθαι τῷ ἀ, Rom 12:9; ερωτᾶν περὶ τοῦ ἀ., Mat 19:17; διάκονος εἰς τὸ ἀ., Rom 13:4; τὸ ἀ. σου, thy favour, benefit, Phm 14; pl., τὰ ἀ., of goods, possessions, Luk 12:18; of spiritual benefits, Rom 10:15, Heb 9:11; 10.1. ἀ is opp. to πονηρός, Mat 5:45; 20.5; κακός, Rom 7:19; φαῦλος, Rom 9:11, 2Co 5:10 (cf. MM, VGT, see word). SYN.: καλός, δίκαιος. κ. properly refers to goodliness as manifested in form: ἀ. to inner excellence (cf. the cl. καλὸς κἀγαθός and ἐν καρδία κ. καὶ ἀ., Luk 8:15). In Rom 5:7, where it is contrasted with δ., ἀ. implies a kindliness and attractiveness not necessarily possessed by the δίκαιος, who merely measures up to a high standard of rectitude (cf. ἀγαθωσύνη).
G0019	αγαθωσυνη	goodness	goodness  perhaps generosity	goodness, virtue, beneficence, Rom 15:14; Eph 5:9; 2Th 1:11; generosity, Gal 5:22*
G0020	αγαλλιασις	joy	extreme joy or gladness	delight, exultation, extreme joy,
G0021	αγαλλιαω	to rejoice	be extremely joyful or glad	to celebrate, praise;, usually in the middle in the NT (ἀγαλλιάομαι) to exult, rejoice exceedingly; to fill with delight; to desire ardently, Jn 8:56
G0022	αγαμος	unmarried	unmarried  single	unmarried, (woman or man) 1Co 7:8, 11, 32, 34*
G0023	αγανακτεω	be indignant	be indignant or angry	to be pained; to be angry, vexed, indignant; to manifest indignation, Mk 14:4; Lk 13:14
G0024	αγανακτησις	indignation	indignation	indignation, 2Co 7:11*
G0025	αγαπαω	to love	to love	to love, value, esteem, feel or manifest generous concern for, be faithful towards; to delight in, to set store upon, Rev 12:11
G0026	αγαπη	love	love	love, generosity, kindly concern, devotedness;, pl. love-feasts, Jude 12
G0027	αγαπητος	beloved	beloved  dear-(est); only	beloved, dear; worthy of love,
G0028	αγαρ	Hagar	Hagar (GAL.4:24,25)	(Proper name),  Hagar (Gen. 16), Gal 4:24, 25*
G0029	αγγαρευω	to force	force  press into service	to press, or compel, force another to go somewhere, or carry some burden, Mt 5:41; 27:32; Mk 15:21*
G0030	αγγειον	jar	container  vessel	a vessel, flask, jar Mt 25:4*
G0031	αγγελια	message	message  news; command	a messsage, doctrine, or precept, delivered in the name of any one; command, 1Jn 1:5; 3:11*
G0032	αγγελος	angel	angel  messenger, one who is sent	one sent, a messenger, angel,
G0033	αγε	to lead	to lead, guide, move with force	to lead. bring; lead away, drive off, as a booty of cattle; conduct, accompany; lead out, produce; conduct with force, drag, hurry away; guide, incite, entice; convey one's self, go, go away; pass or spend as time; celebrate
G0034	αγελη	herd	herd (of pigs)	flock, herd, Mat 8:30-32, Mrk 5:11, 13, Luk 8:32,33
G0035	αγενεαλογητος	without genealogy	without (record of) lineage	not included in a genealogy; independent of genealogy, Heb 7:3*
G0036	αγενης	lowly	insignificant  inferior	lit., without kin; fig., base, low, insignificant, with low social standing 1Co 1:28*
